N,P,K,TEMPERATURE,RAINFALL,CROP,SOIL TYPE,REGION,WATER REQUIREMENT
90,42,43,20.87974371,202.9355362,RICE,DRY,DESERT,17
85,58,41,21.77046169,226.6555374,RICE,DRY,DESERT,18.5
60,55,44,23.00445915,263.9642476,RICE,DRY,DESERT,18
74,35,40,26.49109635,242.8640342,RICE,DRY,DESERT,9
78,42,42,20.13017482,262.7173405,RICE,DRY,DESERT,18
69,37,42,23.05804872,251.0549998,RICE,DRY,DESERT,19.5
69,55,38,22.70883798,271.3248604,RICE,DRY,DESERT,19
94,53,40,20.27774362,241.9741949,RICE,DRY,DESERT,10
89,54,38,24.51588066,230.4462359,RICE,DRY,DESERT,19
68,58,38,23.22397386,221.2091958,RICE,DRY,DESERT,20.5
91,53,40,26.52723513,264.6148697,RICE,DRY,DESERT,20
90,46,42,23.97898217,250.0832336,RICE,DRY,DESERT,11
78,58,44,26.80079604,284.4364567,RICE,DRY,DESERT,20
93,56,36,24.01497622,185.2773389,RICE,DRY,DESERT,21.5
94,50,37,25.66585205,209.5869708,RICE,DRY,DESERT,21
60,48,39,24.28209415,231.0863347,RICE,DRY,DESERT,12
85,38,41,21.58711777,276.6552459,RICE,DRY,DESERT,15.5
91,35,39,23.79391957,206.2611855,RICE,DRY,DESERT,17
77,38,36,21.8652524,224.5550169,RICE,DRY,DESERT,16.5
88,35,40,23.57943626,291.2986618,RICE,DRY,DESERT,7.5
89,45,36,21.32504158,185.4974732,RICE,DRY,DESERT,16.5
76,40,43,25.15745531,231.3843163,RICE,DRY,DESERT,18
67,59,41,21.94766735,213.3560921,RICE,DRY,DESERT,17.5
83,41,43,21.0525355,233.1075816,RICE,DRY,DESERT,8.5
98,47,37,23.48381344,224.0581164,RICE,DRY,DESERT,17.5
66,53,41,25.0756354,257.0038865,RICE,DRY,DESERT,19
97,59,43,26.35927159,271.3586137,RICE,DRY,DESERT,18.5
97,50,41,24.52922681,260.2634026,RICE,DRY,DESERT,9.5
60,49,44,20.77576147,240.0810647,RICE,DRY,DESERT,18.5
84,51,35,22.30157427,197.9791215,RICE,DRY,DESERT,20
73,57,41,21.44653958,272.2017204,RICE,DRY,DESERT,19.5
92,35,40,22.17931888,200.0882787,RICE,DRY,DESERT,10.5
85,37,39,24.52783742,224.6757231,RICE,DRY,DESERT,13.5
98,53,38,20.26707606,270.4417274,RICE,DRY,DESERT,15
88,54,44,25.7354293,233.1321372,RICE,DRY,DESERT,14.5
95,55,42,26.79533926,193.3473987,RICE,DRY,DESERT,5.5
99,57,35,26.75754171,272.2999056,RICE,DRY,DESERT,14.5
95,39,36,23.86330467,285.2493645,RICE,DRY,DESERT,16
60,43,44,21.01944696,298.4018471,RICE,DRY,DESERT,15.5
63,44,41,24.17298839,257.0343554,RICE,DRY,DESERT,6.5
62,42,36,22.78133816,248.7183228,RICE,DRY,DESERT,15.5
64,45,43,25.62980105,209.9001977,RICE,DRY,DESERT,17
83,60,36,25.59704938,200.834898,RICE,DRY,DESERT,16.5
82,40,40,23.83067496,298.5601175,RICE,DRY,DESERT,7.5
85,52,45,26.31355498,265.5355937,RICE,DRY,DESERT,16.5
91,35,38,24.8972823,183.6793207,RICE,DRY,DESERT,18
76,49,42,24.958779,196.9560008,RICE,DRY,DESERT,17.5
74,39,38,23.24113501,233.0453455,RICE,DRY,DESERT,8.5
79,43,39,21.66628296,210.8142087,RICE,DRY,DESERT,11
88,55,45,24.63544858,253.7202781,RICE,DRY,DESERT,12.5
60,36,43,23.43121862,219.9048349,RICE,DRY,DESERT,12
76,60,39,20.0454142,208.5810155,RICE,DRY,DESERT,3
93,56,42,23.85724032,195.0948311,RICE,DRY,DESERT,12
65,60,43,21.97199397,227.3637009,RICE,DRY,DESERT,13.5
95,52,36,26.22916897,286.5083725,RICE,DRY,DESERT,13
75,38,39,23.44676801,283.9338466,RICE,DRY,DESERT,4
74,54,38,25.65553461,217.3788583,RICE,DRY,DESERT,13
91,36,45,24.44345477,267.9761948,RICE,DRY,DESERT,14.5
71,46,40,20.2801937,191.9535738,RICE,DRY,DESERT,14
99,55,35,21.7238313,277.9626192,RICE,DRY,DESERT,5
72,40,38,20.41447029,245.1511304,RICE,DRY,DESERT,14
83,58,45,25.75528612,245.6626799,RICE,DRY,DESERT,15.5
93,58,38,20.61521424,279.5451717,RICE,DRY,DESERT,15
70,36,42,21.84106875,202.3838319,RICE,DRY,DESERT,6
76,47,42,20.08369642,263.6372176,RICE,DRY,DESERT,13
99,41,36,24.45802087,182.5616319,RICE,DRY,DESERT,14.5
99,54,37,21.14347496,198.6730942,RICE,DRY,DESERT,14
